,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
3380,,Papua New Guinea,3/27/20 23:23,-6.314993,143.95555,1,0,0,1
3381,,Paraguay,3/27/20 23:23,-23.4425,-58.4438,52,3,1,48
3382,,Peru,3/27/20 23:23,-9.19,-75.0152,635,11,16,608
3383,,Philippines,3/27/20 23:23,12.879721,121.77401699999999,803,54,31,718
3384,,Poland,3/27/20 23:23,51.9194,19.1451,1389,16,7,1366
3385,,Portugal,3/27/20 23:23,39.3999,-8.2245,4268,76,43,4149
3386,,Qatar,3/27/20 23:23,25.3548,51.1839,562,0,43,519
3387,,Romania,3/27/20 23:23,45.9432,24.9668,1292,26,115,1151
3388,,Russia,3/27/20 23:23,61.52401,105.31875600000001,1036,4,45,987
3389,,Rwanda,3/27/20 23:23,-1.9403,29.8739,54,0,0,54
3390,,Saint Kitts and Nevis,3/27/20 23:23,17.357822,-62.782998,2,0,0,2
3391,,Saint Lucia,3/27/20 23:23,13.9094,-60.9789,3,0,1,2
3392,,Saint Vincent and the Grenadines,3/27/20 23:23,12.9843,-61.2872,1,0,0,1
3393,,San Marino,3/27/20 23:23,43.9424,12.4578,223,21,4,198
3394,,Saudi Arabia,3/27/20 23:23,23.885942,45.079162,1104,3,35,1066
3395,,Senegal,3/27/20 23:23,14.4974,-14.4524,119,0,11,108
3396,,Serbia,3/27/20 23:23,44.0165,21.0059,457,1,0,456
3397,,Seychelles,3/27/20 23:23,-4.6796,55.492,7,0,0,7
3398,,Singapore,3/27/20 23:23,1.2833,103.8333,732,2,183,547
3399,,Slovakia,3/27/20 23:23,48.669,19.699,269,0,2,267
3400,,Slovenia,3/27/20 23:23,46.1512,14.9955,632,9,10,613
3401,,Somalia,3/27/20 23:23,5.152149,46.199616,3,0,0,3
3402,,South Africa,3/27/20 23:23,-30.5595,22.9375,1170,1,31,1138
3403,,Spain,3/27/20 23:23,40.463667,-3.7492199999999998,65719,5138,9357,51224
3404,,Sri Lanka,3/27/20 23:23,7.873054,80.77179699999999,106,0,7,99
3405,,Sudan,3/27/20 23:23,12.8628,30.2176,3,1,0,2
3406,,Suriname,3/27/20 23:23,3.9193,-56.0278,8,0,0,8
3407,,Sweden,3/27/20 23:23,60.128161,18.643501,3069,105,16,2948
3408,,Switzerland,3/27/20 23:23,46.8182,8.2275,12928,231,1530,11167
3409,,Syria,3/27/20 23:23,34.802075,38.996815000000005,5,0,0,5
3410,,Taiwan*,3/27/20 6:33,23.7,121.0,267,2,29,236
3411,,Tanzania,3/27/20 23:23,-6.369028,34.888822,13,0,1,12
3412,,Thailand,3/27/20 23:23,15.870032,100.992541,1136,5,97,1034
3413,,Timor-Leste,3/27/20 23:23,-8.874217,125.727539,1,0,0,1
3414,,Togo,3/27/20 23:23,8.6195,0.8248,25,1,1,23
3415,,Trinidad and Tobago,3/27/20 23:23,10.6918,-61.2225,66,2,1,63
3416,,Tunisia,3/27/20 23:23,33.886917,9.537499,227,6,2,219
3417,,Turkey,3/27/20 23:23,38.9637,35.2433,5698,92,42,5564
3418,,Uganda,3/27/20 23:23,1.373333,32.290275,23,0,0,23
3419,,Ukraine,3/27/20 23:23,48.3794,31.1656,310,5,5,300
3420,,United Arab Emirates,3/27/20 23:23,23.424076,53.847818000000004,405,2,52,351
3421,,United Kingdom,3/27/20 23:23,55.3781,-3.4360000000000004,14543,759,135,13649
3422,,Uruguay,3/27/20 23:23,-32.5228,-55.7658,238,0,0,238
3423,,Uzbekistan,3/27/20 23:23,41.377491,64.585262,88,1,5,82
3424,,Venezuela,3/27/20 23:23,6.4238,-66.5897,107,1,31,75
3425,,Vietnam,3/27/20 23:23,14.058323999999999,108.277199,163,0,20,143
3426,,West Bank and Gaza,3/27/20 23:23,31.9522,35.2332,91,1,17,73
3427,,Zambia,3/27/20 23:23,-13.133897,27.849332,22,0,0,22
3428,,Zimbabwe,3/27/20 23:23,-19.015438,29.154857,5,1,0,4
